点位名称,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间,日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
高压开关厂 ,42,52,155,99.0,107.0,115.0,170.0,4,2013-04-17,2013-04-17,1,18.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,54,45,98,76.0,64.0,79.0,92.0,1,2013-04-16,2013-04-16,0,33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,54,45,98,76.0,64.0,79.0,92.0,1,2013-04-16,2013-04-16,1,19.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,76,52,106,93.0,49.0,78.0,85.0,3,2013-04-15,2013-04-15,0,32.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,76,52,106,93.0,49.0,78.0,85.0,3,2013-04-15,2013-04-15,1,17.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,62,47,88,82.0,49.0,72.0,64.0,1,2013-04-14,2013-04-14,0,31.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,62,47,88,82.0,49.0,72.0,64.0,1,2013-04-14,2013-04-14,1,16.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,34,62,107,89.0,41.0,52.0,105.0,3,2013-04-13,2013-04-13,0,29.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,34,62,107,89.0,41.0,52.0,105.0,3,2013-04-13,2013-04-13,1,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,56,125,110,101.0,44.0,62.0,108.0,3,2013-04-12,2013-04-12,0,27.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,56,125,110,101.0,44.0,62.0,108.0,3,2013-04-12,2013-04-12,1,11.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,83,167,119,102.0,41.0,57.0,134.0,4,2013-04-11,2013-04-11,0,23.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,83,167,119,102.0,41.0,57.0,134.0,4,2013-04-11,2013-04-11,1,9.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,37,99,108,89.0,38.0,45.0,113.0,3,2013-04-10,2013-04-10,0,20.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,37,99,108,89.0,38.0,45.0,113.0,3,2013-04-10,2013-04-10,1,8.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,19,100,90,79.0,42.0,65.0,85.0,1,2013-04-09,2013-04-09,0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,19,100,90,79.0,42.0,65.0,85.0,1,2013-04-09,2013-04-09,1,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,36,165,159,87.0,35.0,55.0,112.0,4,2013-04-08,2013-04-08,0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,36,165,159,87.0,35.0,55.0,112.0,4,2013-04-08,2013-04-08,1,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,65,155,125,96.0,56.0,67.0,147.0,4,2013-04-07,2013-04-07,0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,65,155,125,96.0,56.0,67.0,147.0,4,2013-04-07,2013-04-07,1,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,40,97,96,77.0,38.0,45.0,93.0,1,2013-04-06,2013-04-06,0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,40,97,96,77.0,38.0,45.0,93.0,1,2013-04-06,2013-04-06,1,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,30,82,109,68.0,30.0,40.0,89.0,3,2013-04-05,2013-04-05,0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,30,82,109,68.0,30.0,40.0,89.0,3,2013-04-05,2013-04-05,1,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,47,59,127,83.0,24.0,27.0,158.0,4,2013-04-04,2013-04-04,0,18.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
高压开关厂 ,47,59,127,83.0,24.0,27.0,158.0,4,2013-04-04,2013-04-04,1,9.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
高压开关厂 ,62,79,134,91.0,54.0,68.0,179.0,4,2013-04-03,2013-04-03,0,22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,62,79,134,91.0,54.0,68.0,179.0,4,2013-04-03,2013-04-03,1,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,81,64,126,82.0,15.0,21.0,138.0,3,2013-04-02,2013-04-02,0,19.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,81,64,126,82.0,15.0,21.0,138.0,3,2013-04-02,2013-04-02,1,10.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,54,92,191,99.0,50.0,76.0,229.0,6,2013-04-01,2013-04-01,0,21.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,54,92,191,99.0,50.0,76.0,229.0,6,2013-04-01,2013-04-01,1,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,46,59,147,87.0,41.0,44.0,237.0,6,2013-03-31,2013-03-31,0,24.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,46,59,147,87.0,41.0,44.0,237.0,6,2013-03-31,2013-03-31,1,11.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,65,90,176,89.0,41.0,52.0,235.0,6,2013-03-30,2013-03-30,0,24.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,65,90,176,89.0,41.0,52.0,235.0,6,2013-03-30,2013-03-30,1,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,54,65,146,80.0,30.0,40.0,198.0,4,2013-03-29,2013-03-29,0,23.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,54,65,146,80.0,30.0,40.0,198.0,4,2013-03-29,2013-03-29,1,10.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,57,116,143,101.0,40.0,50.0,150.0,3,2013-03-28,2013-03-28,0,24.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,57,116,143,101.0,40.0,50.0,150.0,3,2013-03-28,2013-03-28,1,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,52,94,140,99.0,37.0,44.0,148.0,3,2013-03-27,2013-03-27,0,26.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,52,94,140,99.0,37.0,44.0,148.0,3,2013-03-27,2013-03-27,1,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,44,95,105,78.0,40.0,50.0,145.0,3,2013-03-26,2013-03-26,0,20.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,44,95,105,78.0,40.0,50.0,145.0,3,2013-03-26,2013-03-26,1,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,56,62,115,71.0,13.0,28.0,133.0,3,2013-03-25,2013-03-25,0,17.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
高压开关厂 ,56,62,115,71.0,13.0,28.0,133.0,3,2013-03-25,2013-03-25,1,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,43,92,146,63.0,36.0,48.0,115.0,3,2013-03-24,2013-03-24,0,20.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,43,92,146,63.0,36.0,48.0,115.0,3,2013-03-24,2013-03-24,1,10.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,58,85,166,83.0,46.0,56.0,208.0,6,2013-03-23,2013-03-23,0,25.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,58,85,166,83.0,46.0,56.0,208.0,6,2013-03-23,2013-03-23,1,9.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,58,101,143,85.0,32.0,38.0,208.0,6,2013-03-22,2013-03-22,0,21.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,58,101,143,85.0,32.0,38.0,208.0,6,2013-03-22,2013-03-22,1,10.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,52,70,136,71.0,23.0,28.0,173.0,4,2013-03-21,2013-03-21,0,22.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,52,70,136,71.0,23.0,28.0,173.0,4,2013-03-21,2013-03-21,1,8.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,42,53,148,59.0,32.0,44.0,114.0,3,2013-03-20,2013-03-20,0,24.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,42,53,148,59.0,32.0,44.0,114.0,3,2013-03-20,2013-03-20,1,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,57,105,175,98.0,32.0,34.0,163.0,4,2013-03-19,2013-03-19,0,27.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,57,105,175,98.0,32.0,34.0,163.0,4,2013-03-19,2013-03-19,1,10.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,55,99,153,70.0,35.0,42.0,108.0,4,2013-03-18,2013-03-18,0,26.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,55,99,153,70.0,35.0,42.0,108.0,4,2013-03-18,2013-03-18,1,10.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,63,107,139,64.0,45.0,65.0,158.0,4,2013-03-17,2013-03-17,0,21.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,63,107,139,64.0,45.0,65.0,158.0,4,2013-03-17,2013-03-17,1,8.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,66,64,166,75.0,15.0,18.0,280.0,6,2013-03-16,2013-03-16,0,13.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
高压开关厂 ,66,64,166,75.0,15.0,18.0,280.0,6,2013-03-16,2013-03-16,1,9.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
高压开关厂 ,67,75,149,62.0,26.0,34.0,229.0,6,2013-03-15,2013-03-15,0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,67,75,149,62.0,26.0,34.0,229.0,6,2013-03-15,2013-03-15,1,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,61,65,118,48.0,22.0,27.0,166.0,4,2013-03-14,2013-03-14,0,16.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,61,65,118,48.0,22.0,27.0,166.0,4,2013-03-14,2013-03-14,1,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,68,83,500,59.0,15.0,19.0,364.0,7,2013-03-13,2013-03-13,0,19.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,68,83,500,59.0,15.0,19.0,364.0,7,2013-03-13,2013-03-13,1,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,60,91,500,50.0,19.0,21.0,268.0,7,2013-03-12,2013-03-12,0,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,60,91,500,50.0,19.0,21.0,268.0,7,2013-03-12,2013-03-12,1,7.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,67,62,107,33.0,18.0,22.0,105.0,3,2013-03-11,2013-03-11,0,17.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,67,62,107,33.0,18.0,22.0,105.0,3,2013-03-11,2013-03-11,1,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
高压开关厂 ,45,88,364,24.0,27.0,37.0,112.0,7,2013-03-10,2013-03-10,0,19.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,45,88,364,24.0,27.0,37.0,112.0,7,2013-03-10,2013-03-10,1,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,50,98,500,48.0,23.0,32.0,309.0,7,2013-03-09,2013-03-09,0,22.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,50,98,500,48.0,23.0,32.0,309.0,7,2013-03-09,2013-03-09,1,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
高压开关厂 ,100,112,152,63.0,38.0,49.0,162.0,4,2013-03-08,2013-03-08,0,27.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,100,112,152,63.0,38.0,49.0,162.0,4,2013-03-08,2013-03-08,1,14.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,76,94,191,57.0,36.0,42.0,195.0,4,2013-03-07,2013-03-07,0,25.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,76,94,191,57.0,36.0,42.0,195.0,4,2013-03-07,2013-03-07,1,9.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,74,80,196,33.0,33.0,46.0,209.0,6,2013-03-06,2013-03-06,0,21.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,74,80,196,33.0,33.0,46.0,209.0,6,2013-03-06,2013-03-06,1,4.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,85,87,192,60.0,33.0,35.0,252.0,6,2013-03-05,2013-03-05,0,21.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,85,87,192,60.0,33.0,35.0,252.0,6,2013-03-05,2013-03-05,1,6.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,69,81,171,43.0,33.0,37.0,169.0,4,2013-03-04,2013-03-04,0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,69,81,171,43.0,33.0,37.0,169.0,4,2013-03-04,2013-03-04,1,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高压开关厂 ,60,88,153,32.0,38.0,48.0,127.0,4,2013-03-03,2013-03-03,0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,60,88,153,32.0,38.0,48.0,127.0,4,2013-03-03,2013-03-03,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,94,88,144,20.0,30.0,35.0,103.0,3,2013-03-02,2013-03-02,0,12.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,94,88,144,20.0,30.0,35.0,103.0,3,2013-03-02,2013-03-02,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,63,63,145,10.0,27.0,40.0,67.0,3,2013-03-01,2013-03-01,0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
高压开关厂 ,63,63,145,10.0,27.0,40.0,67.0,3,2013-03-01,2013-03-01,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高压开关厂 ,70,76,270,52.0,27.0,28.0,272.0,6,2013-02-28,2013-02-28,0,,,,,,,,,,
高压开关厂 ,70,76,270,52.0,27.0,28.0,272.0,6,2013-02-28,2013-02-28,1,,,,,,,,,,
高压开关厂 ,99,109,322,91.0,41.0,38.0,402.0,7,2013-02-27,2013-02-27,0,,,,,,,,,,
高压开关厂 ,99,109,322,91.0,41.0,38.0,402.0,7,2013-02-27,2013-02-27,1,,,,,,,,,,
高压开关厂 ,116,100,282,87.0,31.0,32.0,412.0,7,2013-02-26,2013-02-26,0,,,,,,,,,,
高压开关厂 ,116,100,282,87.0,31.0,32.0,412.0,7,2013-02-26,2013-02-26,1,,,,,,,,,,
高压开关厂 ,104,88,270,81.0,20.0,20.0,354.0,7,2013-02-25,2013-02-25,0,,,,,,,,,,
高压开关厂 ,104,88,270,81.0,20.0,20.0,354.0,7,2013-02-25,2013-02-25,1,,,,,,,,,,
高压开关厂 ,105,99,270,81.0,38.0,41.0,412.0,7,2013-02-24,2013-02-24,0,,,,,,,,,,
高压开关厂 ,105,99,270,81.0,38.0,41.0,412.0,7,2013-02-24,2013-02-24,1,,,,,,,,,,
高压开关厂 ,86,116,158,69.0,40.0,47.0,285.0,6,2013-02-23,2013-02-23,0,,,,,,,,,,
高压开关厂 ,86,116,158,69.0,40.0,47.0,285.0,6,2013-02-23,2013-02-23,1,,,,,,,,,,
高压开关厂 ,78,90,125,65.0,39.0,45.0,225.0,6,2013-02-22,2013-02-22,0,,,,,,,,,,
高压开关厂 ,78,90,125,65.0,39.0,45.0,225.0,6,2013-02-22,2013-02-22,1,,,,,,,,,,
高压开关厂 ,100,100,118,61.0,38.0,48.0,208.0,6,2013-02-21,2013-02-21,0,,,,,,,,,,
高压开关厂 ,100,100,118,61.0,38.0,48.0,208.0,6,2013-02-21,2013-02-21,1,,,,,,,,,,
高压开关厂 ,60,60,82,36.0,24.0,30.0,138.0,3,2013-02-20,2013-02-20,0,,,,,,,,,,
高压开关厂 ,60,60,82,36.0,24.0,30.0,138.0,3,2013-02-20,2013-02-20,1,,,,,,,,,,
高压开关厂 ,63,59,82,38.0,21.0,26.0,140.0,3,2013-02-19,2013-02-19,0,,,,,,,,,,
高压开关厂 ,63,59,82,38.0,21.0,26.0,140.0,3,2013-02-19,2013-02-19,1,,,,,,,,,,
高压开关厂 ,58,65,83,34.0,29.0,33.0,119.0,3,2013-02-18,2013-02-18,0,,,,,,,,,,
高压开关厂 ,58,65,83,34.0,29.0,33.0,119.0,3,2013-02-18,2013-02-18,1,,,,,,,,,,
高压开关厂 ,96,59,160,41.0,22.0,19.0,296.0,6,2013-02-17,2013-02-17,0,,,,,,,,,,
高压开关厂 ,96,59,160,41.0,22.0,19.0,296.0,6,2013-02-17,2013-02-17,1,,,,,,,,,,
高压开关厂 ,105,108,178,101.0,34.0,44.0,347.0,7,2013-02-16,2013-02-16,0,,,,,,,,,,
高压开关厂 ,105,108,178,101.0,34.0,44.0,347.0,7,2013-02-16,2013-02-16,1,,,,,,,,,,
高压开关厂 ,78,93,89,108.0,34.0,41.0,99.0,3,2013-02-15,2013-02-15,0,,,,,,,,,,
高压开关厂 ,78,93,89,108.0,34.0,41.0,99.0,3,2013-02-15,2013-02-15,1,,,,,,,,,,
高压开关厂 ,104,103,109,109.0,26.0,28.0,159.0,4,2013-02-14,2013-02-14,0,,,,,,,,,,
高压开关厂 ,104,103,109,109.0,26.0,28.0,159.0,4,2013-02-14,2013-02-14,1,,,,,,,,,,
高压开关厂 ,128,107,100,109.0,20.0,18.0,145.0,3,2013-02-13,2013-02-13,0,,,,,,,,,,
高压开关厂 ,128,107,100,109.0,20.0,18.0,145.0,3,2013-02-13,2013-02-13,1,,,,,,,,,,
高压开关厂 ,68,77,114,108.0,33.0,42.0,185.0,4,2013-02-12,2013-02-12,0,,,,,,,,,,
高压开关厂 ,68,77,114,108.0,33.0,42.0,185.0,4,2013-02-12,2013-02-12,1,,,,,,,,,,
高压开关厂 ,74,82,155,111.0,9.0,11.0,305.0,7,2013-02-11,2013-02-11,0,,,,,,,,,,
高压开关厂 ,74,82,155,111.0,9.0,11.0,305.0,7,2013-02-11,2013-02-11,1,,,,,,,,,,
高压开关厂 ,106,105,487,114.0,40.0,40.0,500.0,7,2013-02-10,2013-02-10,0,,,,,,,,,,
高压开关厂 ,106,105,487,114.0,40.0,40.0,500.0,7,2013-02-10,2013-02-10,1,,,,,,,,,,
高压开关厂 ,127,107,178,111.0,22.0,28.0,327.0,7,2013-02-09,2013-02-09,0,,,,,,,,,,
高压开关厂 ,127,107,178,111.0,22.0,28.0,327.0,7,2013-02-09,2013-02-09,1,,,,,,,,,,
高压开关厂 ,102,106,105,110.0,9.0,10.0,190.0,4,2013-02-08,2013-02-08,0,,,,,,,,,,
高压开关厂 ,102,106,105,110.0,9.0,10.0,190.0,4,2013-02-08,2013-02-08,1,,,,,,,,,,
高压开关厂 ,104,108,134,113.0,11.0,14.0,221.0,6,2013-02-07,2013-02-07,0,,,,,,,,,,
高压开关厂 ,104,108,134,113.0,11.0,14.0,221.0,6,2013-02-07,2013-02-07,1,,,,,,,,,,
高压开关厂 ,117,120,196,118.0,11.0,11.0,346.0,7,2013-02-06,2013-02-06,0,,,,,,,,,,
高压开关厂 ,117,120,196,118.0,11.0,11.0,346.0,7,2013-02-06,2013-02-06,1,,,,,,,,,,
高压开关厂 ,107,110,102,114.0,29.0,31.0,166.0,4,2013-02-05,2013-02-05,0,,,,,,,,,,
高压开关厂 ,107,110,102,114.0,29.0,31.0,166.0,4,2013-02-05,2013-02-05,1,,,,,,,,,,
高压开关厂 ,90,107,4,113.0,4.0,6.0,199.0,4,2013-02-04,2013-02-04,0,,,,,,,,,,
高压开关厂 ,90,107,4,113.0,4.0,6.0,199.0,4,2013-02-04,2013-02-04,1,,,,,,,,,,
高压开关厂 ,98,115,4,114.0,4.0,5.0,240.0,6,2013-02-03,2013-02-03,0,,,,,,,,,,
高压开关厂 ,98,115,4,114.0,4.0,5.0,240.0,6,2013-02-03,2013-02-03,1,,,,,,,,,,
高压开关厂 ,101,131,253,118.0,5.0,6.0,391.0,7,2013-02-02,2013-02-02,0,,,,,,,,,,
高压开关厂 ,101,131,253,118.0,5.0,6.0,391.0,7,2013-02-02,2013-02-02,1,,,,,,,,,,
高压开关厂 ,122,144,342,119.0,6.0,7.0,440.0,7,2013-02-01,2013-02-01,0,,,,,,,,,,
高压开关厂 ,122,144,342,119.0,6.0,7.0,440.0,7,2013-02-01,2013-02-01,1,,,,,,,,,,
高压开关厂 ,107,134,172,114.0,10.0,10.0,318.0,7,2013-01-31,2013-01-31,0,11.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,107,134,172,114.0,10.0,10.0,318.0,7,2013-01-31,2013-01-31,1,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
高压开关厂 ,118,148,322,115.0,10.0,10.0,429.0,7,2013-01-30,2013-01-30,0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
