日期,天气状况（白天/夜间）,气温（最高温/最低温）,风力风向（白天/夜间）
2011/1/28, 阴 /多云, 0℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/29, 晴 /晴, 3℃ / -6℃, 旋转风 微风 /无持续风向 微风
2011/1/30, 晴 /多云, 3℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/31, 晴 /晴, 4℃ / -5℃, 旋转风 微风 /旋转风 微风
2011/2/1, 晴 /晴, 5℃ / -4℃, 旋转风 微风 /无持续风向 微风
2011/2/2, 多云 /多云, 9℃ / -3℃, 旋转风 微风 /无持续风向 微风
2011/2/3, 晴 /晴, 10℃ / -2℃, 旋转风 微风 /无持续风向 微风
2011/2/4, 晴 /晴, 11℃ / 0℃, 旋转风 微风 /无持续风向 微风
2011/2/5, 晴 /晴, 14℃ / 1℃, 旋转风 微风 /无持续风向 微风
2011/2/6, 阴 /阴, 11℃ / 2℃, 旋转风 微风 /无持续风向 微风
2011/2/7, 晴 /阴, 13℃ / 2℃, 旋转风 微风 /无持续风向 微风
2011/2/8, 阴 /小雨, 9℃ / 0℃, 旋转风 微风 /无持续风向 微风
2011/2/9, 小雨 /雨夹雪, 4℃ / -1℃, 东北风 3-4级 /无持续风向 微风
2011/2/10, 多云 /多云, 6℃ / 0℃, 旋转风 微风 /无持续风向 微风
2011/2/11, 阴 /阴, 6℃ / 0℃, 旋转风 微风 /无持续风向 微风
2011/2/12, 雨夹雪 /阴, 4℃ / -2℃, 旋转风 微风 /无持续风向 微风
2011/2/13, 晴 /晴, 7℃ / -3℃, 旋转风 微风 /无持续风向 微风
2011/2/14, 多云 /多云, 10℃ / -2℃, 旋转风 微风 /无持续风向 微风
2011/2/15, 阴 /阴, 6℃ / -2℃, 旋转风 微风 /旋转风 微风
2011/2/16, 多云 /多云, 6℃ / -2℃, 旋转风 微风 /无持续风向 微风
2011/2/17, 阴 /阴, 7℃ / 1℃, 旋转风 微风 /无持续风向 微风
2011/2/18, 雨夹雪 /阴, 6℃ / 1℃, 旋转风 微风 /无持续风向 微风
2011/2/19, 阴 /阴, 8℃ / 3℃, 旋转风 微风 /旋转风 微风
2011/2/20, 阴 /阴, 11℃ / 2℃, 旋转风 微风 /无持续风向 微风
2011/2/21, 阴 /阴, 11℃ / 3℃, 旋转风 微风 /旋转风 微风
2011/2/22, 阴 /多云, 11℃ / 4℃, 旋转风 微风 /无持续风向 微风
2011/2/23, 多云 /多云, 17℃ / 4℃, 旋转风 微风 /无持续风向 微风
2011/2/24, 多云 /小雨, 17℃ / 4℃, 旋转风 微风 /无持续风向 微风
2011/2/25, 小雨 /中雨, 8℃ / 3℃, 东风 3-4级 /东风 3-4级
2011/2/26, 小雨 /雨夹雪, 5℃ / 0℃, 东北风 3-4级 /无持续风向 微风
2011/2/27, 雨夹雪 /雨夹雪, 4℃ / 0℃, 东北风 3-4级 /旋转风 微风
2011/2/28, 雨夹雪 /阴, 5℃ / 0℃, 旋转风 微风 /无持续风向 微风
2011/3/1, 多云 /晴, 8℃ / 0℃, 旋转风 微风 /无持续风向 微风
2011/3/2, 晴 /晴, 12℃ / 1℃, 旋转风 微风 /无持续风向 微风
2011/3/3, 多云 /多云, 10℃ / 1℃, 旋转风 微风 /无持续风向 微风
2011/3/4, 多云 /阴, 12℃ / 4℃, 旋转风 微风 /无持续风向 微风
2011/3/5, 阴 /阴, 9℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/6, 阴 /晴, 13℃ / 2℃, 旋转风 微风 /无持续风向 微风
2011/3/7, 晴 /晴, 16℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/8, 多云 /多云, 17℃ / 4℃, 旋转风 微风 /无持续风向 微风
2011/3/9, 多云 /晴, 13℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/10, 多云 /多云, 15℃ / 5℃, 旋转风 微风 /无持续风向 微风
2011/3/11, 晴 /晴, 17℃ / 5℃, 旋转风 微风 /无持续风向 微风
2011/3/12, 晴 /多云, 19℃ / 9℃, 旋转风 微风 /无持续风向 微风
2011/3/13, 多云 /多云, 20℃ / 5℃, 旋转风 微风 /西南风 3-4级
2011/3/14, 阴 /多云, 10℃ / 1℃, 西北风 3-4级 /西北风 3-4级
2011/3/15, 晴 /晴, 12℃ / 1℃, 旋转风 微风 /无持续风向 微风
2011/3/16, 晴 /晴, 15℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/17, 多云 /阴, 19℃ / 6℃, 旋转风 微风 /无持续风向 微风
2011/3/18, 多云 /阴, 15℃ / 7℃, 旋转风 微风 /无持续风向 微风
2011/3/19, 小雨 /小雨, 9℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/20, 小雨 /小雨, 6℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/21, 阴 /阴, 7℃ / 1℃, 旋转风 微风 /无持续风向 微风
2011/3/22, 多云 /多云, 12℃ / 2℃, 旋转风 微风 /无持续风向 微风
2011/3/23, 多云 /多云, 12℃ / 2℃, 旋转风 微风 /无持续风向 微风
2011/3/24, 多云 /多云, 11℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/25, 晴 /晴, 15℃ / 3℃, 旋转风 微风 /无持续风向 微风
2011/3/26, 晴 /晴, 17℃ / 4℃, 旋转风 微风 /旋转风 微风
2011/3/27, 晴 /多云, 17℃ / 5℃, 旋转风 微风 /无持续风向 微风
2011/3/28, 晴 /晴, 19℃ / 7℃, 旋转风 微风 /无持续风向 微风
2011/3/29, 多云 /多云, 21℃ / 9℃, 旋转风 微风 /无持续风向 微风
2011/3/30, 晴 /多云, 22℃ / 11℃, 旋转风 微风 /无持续风向 微风
2011/3/31, 多云 /阴, 22℃ / 12℃, 旋转风 微风 /无持续风向 微风
2011/4/1, 小雨 /小到中雨, 17℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/2, 小雨 /多云, 13℃ / 4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/3, 多云 /多云, 13℃ / 4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/4, 阴 /阴, 13℃ / 5℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/5, 阵雨 /阵雨, 14℃ / 8℃, 无持续风向 ≤3级 /东北风 3-4级
2011/4/6, 阴 /阴, 13℃ / 8℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/7, 多云 /多云, 15℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/8, 多云 /多云, 19℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/9, 多云 /晴, 24℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/10, 晴 /晴, 24℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/11, 多云 /多云, 20℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/12, 多云 /晴, 24℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/13, 晴 /多云, 27℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/14, 多云 /多云, 28℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/15, 晴 /多云, 27℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/16, 阴 /晴, 27℃ / 15℃, 北风 3-4级 /无持续风向 ≤3级
2011/4/17, 晴 /晴, 26℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/18, 晴 /晴, 28℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/19, 多云 /多云, 28℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/20, 小雨 /阴, 22℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/21, 晴 /晴, 25℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/22, 晴 /晴, 28℃ / 13℃, 无持续风向 ≤3级 /北风 3-4级
2011/4/23, 晴 /晴, 30℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/24, 晴 /晴, 30℃ / 15℃, 北风 3-4级 /北风 3-4级
2011/4/25, 晴 /晴, 31℃ / 17℃, 西北风 3-4级 /西风 3-4级
2011/4/26, 晴 /多云, 31℃ / 18℃, 西南风 3-4级 /无持续风向 ≤3级
2011/4/27, 多云 /多云, 29℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/28, 多云 /多云, 32℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/4/29, 阴 /多云, 33℃ / 15℃, 无持续风向 ≤3级 /西北风 3-4级
2011/4/30, 多云 /阴, 28℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/1, 阵雨 /小雨, 27℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/2, 多云 /晴, 22℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/3, 多云 /阴, 26℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/4, 晴 /晴, 29℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/5, 多云 /多云, 30℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/6, 多云 /多云, 31℃ / 20℃, 无持续风向 ≤3级 /东北风 ≤3级
2011/5/7, 阴 /阴, 32℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/8, 雷阵雨 /雷阵雨, 31℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/9, 小到中雨 /中雨, 21℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/10, 小雨 /多云, 21℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/11, 晴 /多云, 26℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/12, 晴 /多云, 25℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/13, 多云 /阴, 23℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/14, 阴 /晴, 25℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/15, 晴 /晴, 29℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/16, 晴 /晴, 31℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/17, 晴 /多云, 35℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/18, 多云 /多云, 36℃ / 23℃, 无持续风向 ≤3级 /西北风 3-4级
2011/5/19, 阴 /阴, 31℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/20, 雷阵雨 /中雨, 24℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/21, 小到中雨 /小雨, 17℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/22, 阴 /多云, 22℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/23, 多云 /阴, 24℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/24, 小雨 /阴, 22℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/25, 多云 /晴, 27℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/26, 多云 /多云, 29℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/27, 晴 /多云, 31℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/28, 阴 /小雨, 31℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/29, 小到中雨 /阴, 25℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/30, 多云 /多云, 25℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/5/31, 晴 /晴, 30℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/1, 晴 /多云, 32℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/2, 多云 /多云, 30℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/3, 阴 /阴, 30℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/4, 多云 /多云, 29℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/5, 多云 /阴, 30℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/6, 晴 /晴, 33℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/7, 晴 /晴, 37℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/8, 多云 /阴, 37℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/9, 雷阵雨 /阴, 28℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/10, 多云 /多云, 33℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/11, 多云 /多云, 35℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/12, 阴 /多云, 33℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/13, 阴 /阴, 33℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/14, 阴 /多云, 34℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/15, 晴 /多云, 36℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/16, 阴 /小雨, 35℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/17, 小到中雨 /小到中雨, 26℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/18, 多云 /阴, 31℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/19, 阴 /阴, 28℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/20, 小雨 /小雨, 27℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/21, 中雨 /中雨, 24℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/22, 小雨 /小雨, 25℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/23, 多云 /晴, 35℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/24, 晴 /晴, 36℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/25, 晴 /多云, 34℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/26, 雷阵雨 /小雨, 25℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/27, 多云 /晴, 31℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/28, 晴 /晴, 35℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/29, 多云 /多云, 35℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/6/30, 多云 /多云, 36℃ / 27℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/1, 阴 /多云, 35℃ / 28℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/2, 雷阵雨 /雷阵雨, 36℃ / 24℃, 西风 3-4级 /西南风 3-4级
2011/7/3, 小到中雨 /小雨, 29℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/4, 小雨 /小雨, 27℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/5, 中雨 /大雨, 26℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/6, 小到中雨 /小雨, 23℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/7, 多云 /晴, 30℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/8, 晴 /晴, 36℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/9, 多云 /阴, 35℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/10, 阴 /阴, 33℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/11, 阵雨 /阴, 29℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/12, 多云 /多云, 30℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/13, 多云 /多云, 32℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/14, 多云 /多云, 36℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/15, 多云 /晴, 36℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/16, 多云 /多云, 36℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/17, 雷阵雨 /多云, 36℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/18, 多云 /晴, 35℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/19, 多云 /多云, 35℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/20, 多云 /多云, 34℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/21, 小雨 /小到中雨, 33℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/22, 小到中雨 /阵雨, 29℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/23, 阵雨 /阴, 29℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/24, 多云 /多云, 36℃ / 27℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/25, 多云 /多云, 38℃ / 27℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/26, 多云 /阵雨, 36℃ / 26℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/27, 阴 /晴, 36℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/28, 多云 /中雨, 35℃ / 22℃, 无持续风向 ≤3级 /西风 3-4级
2011/7/29, 中雨 /小到中雨, 29℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/30, 多云 /多云, 32℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/7/31, 多云 /多云, 34℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/1, 小雨 /阴, 23℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/2, 阴 /多云, 28℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/3, 多云 /阴, 29℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/4, 中雨 /中雨, 24℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/5, 小到中雨 /阴, 26℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/6, 多云 /晴, 30℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/7, 晴 /晴, 33℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/8, 晴 /晴, 35℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/9, 多云 /多云, 35℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/10, 多云 /多云, 34℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/11, 多云 /多云, 34℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/12, 多云 /多云, 34℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/13, 多云 /多云, 34℃ / 26℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/14, 多云 /多云, 36℃ / 27℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/15, 阴 /雷阵雨, 36℃ / 27℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/16, 雷阵雨 /阴, 33℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/17, 阴 /阴, 30℃ / 25℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/18, 小雨 /小雨, 31℃ / 24℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/19, 阴 /小雨, 27℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/20, 小雨 /中雨, 23℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/21, 中雨 /阴, 21℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/22, 多云 /阴, 26℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/23, 多云 /多云, 26℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/24, 多云 /阵雨, 29℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/25, 阵雨 /多云, 28℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/26, 多云 /多云, 30℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/27, 多云 /多云, 30℃ / 21℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/28, 多云 /多云, 30℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/29, 多云 /晴, 31℃ / 22℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/30, 多云 /多云, 32℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/8/31, 多云 /晴, 32℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/1, 晴 /多云, 32℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/2, 多云 /多云, 30℃ / 23℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/3, 阵雨 /阵雨, 30℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/4, 小到中雨 /小到中雨, 26℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/5, 中雨 /中到大雨, 21℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/6, 中到大雨 /中雨, 18℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/7, 小雨 /阴, 20℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/8, 多云 /阴, 26℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/9, 阴 /阴, 26℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/10, 小雨 /小到中雨, 22℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/11, 中雨 /小雨, 18℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/12, 小雨 /小到中雨, 21℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/13, 中到大雨 /小雨, 19℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/14, 阴 /阴, 23℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/15, 阴 /阴, 24℃ / 18℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/16, 小雨 /小到中雨, 22℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/17, 大雨 /大雨, 17℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/18, 中雨 /小到中雨, 16℃ / 9℃, 无持续风向 ≤3级 /东风 ≤3级
2011/9/19, 阵雨 /阴, 14℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/20, 多云 /晴, 17℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/21, 晴 /晴, 22℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/22, 晴 /多云, 24℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/23, 晴 /多云, 24℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/24, 多云 /多云, 25℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/25, 多云 /多云, 23℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/26, 多云 /阴, 23℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/27, 小到中雨 /中雨, 19℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/28, 小到中雨 /阴, 18℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/29, 多云 /多云, 22℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/9/30, 多云 /多云, 24℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/1, 多云 /阴, 23℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/2, 阵雨 /阵雨, 22℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/4, 阴 /晴, 19℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
