日期,时间段,天气状况,气温,风力风向
2011/2/3,0,晴,10.0,旋转风 微风
2011/2/3,1,晴,-2.0,无持续风向 微风
2011/2/4,0,晴,11.0,旋转风 微风
2011/2/4,1,晴,0.0,无持续风向 微风
2011/2/5,0,晴,14.0,旋转风 微风
2011/2/5,1,晴,1.0,无持续风向 微风
2011/2/6,0,阴,11.0,旋转风 微风
2011/2/6,1,阴,2.0,无持续风向 微风
2011/2/7,0,晴,13.0,旋转风 微风
2011/2/7,1,阴,2.0,无持续风向 微风
2011/2/8,0,阴,9.0,旋转风 微风
2011/2/8,1,小雨,0.0,无持续风向 微风
2011/2/9,0,小雨,4.0,东北风 3-4级
2011/2/9,1,雨夹雪,-1.0,无持续风向 微风
2011/2/10,0,多云,6.0,旋转风 微风
2011/2/10,1,多云,0.0,无持续风向 微风
2011/2/11,0,阴,6.0,旋转风 微风
2011/2/11,1,阴,0.0,无持续风向 微风
2011/2/12,0,雨夹雪,4.0,旋转风 微风
2011/2/12,1,阴,-2.0,无持续风向 微风
2011/2/13,0,晴,7.0,旋转风 微风
2011/2/13,1,晴,-3.0,无持续风向 微风
2011/2/14,0,多云,10.0,旋转风 微风
2011/2/14,1,多云,-2.0,无持续风向 微风
2011/2/15,0,阴,6.0,旋转风 微风
2011/2/15,1,阴,-2.0,旋转风 微风
2011/2/16,0,多云,6.0,旋转风 微风
2011/2/16,1,多云,-2.0,无持续风向 微风
2011/2/17,0,阴,7.0,旋转风 微风
2011/2/17,1,阴,1.0,无持续风向 微风
2011/2/18,0,雨夹雪,6.0,旋转风 微风
2011/2/18,1,阴,1.0,无持续风向 微风
2011/2/19,0,阴,8.0,旋转风 微风
2011/2/19,1,阴,3.0,旋转风 微风
2011/2/20,0,阴,11.0,旋转风 微风
2011/2/20,1,阴,2.0,无持续风向 微风
2011/2/21,0,阴,11.0,旋转风 微风
2011/2/21,1,阴,3.0,旋转风 微风
2011/2/22,0,阴,11.0,旋转风 微风
2011/2/22,1,多云,4.0,无持续风向 微风
2011/2/23,0,多云,17.0,旋转风 微风
2011/2/23,1,多云,4.0,无持续风向 微风
2011/2/24,0,多云,17.0,旋转风 微风
2011/2/24,1,小雨,4.0,无持续风向 微风
2011/2/25,0,小雨,8.0,东风 3-4级
2011/2/25,1,中雨,3.0,东风 3-4级
2011/2/26,0,小雨,5.0,东北风 3-4级
2011/2/26,1,雨夹雪,0.0,无持续风向 微风
2011/2/27,0,雨夹雪,4.0,东北风 3-4级
2011/2/27,1,雨夹雪,0.0,旋转风 微风
2011/2/28,0,雨夹雪,5.0,旋转风 微风
2011/2/28,1,阴,0.0,无持续风向 微风
2011/3/1,0,多云,8.0,旋转风 微风
2011/3/1,1,晴,0.0,无持续风向 微风
2011/3/2,0,晴,12.0,旋转风 微风
2011/3/2,1,晴,1.0,无持续风向 微风
2011/3/3,0,多云,10.0,旋转风 微风
2011/3/3,1,多云,1.0,无持续风向 微风
2011/3/4,0,多云,12.0,旋转风 微风
2011/3/4,1,阴,4.0,无持续风向 微风
2011/3/5,0,阴,9.0,旋转风 微风
2011/3/5,1,阴,3.0,无持续风向 微风
2011/3/6,0,阴,13.0,旋转风 微风
2011/3/6,1,晴,2.0,无持续风向 微风
2011/3/7,0,晴,16.0,旋转风 微风
2011/3/7,1,晴,3.0,无持续风向 微风
2011/3/8,0,多云,17.0,旋转风 微风
2011/3/8,1,多云,4.0,无持续风向 微风
2011/3/9,0,多云,13.0,旋转风 微风
2011/3/9,1,晴,3.0,无持续风向 微风
2011/3/10,0,多云,15.0,旋转风 微风
2011/3/10,1,多云,5.0,无持续风向 微风
2011/3/11,0,晴,17.0,旋转风 微风
2011/3/11,1,晴,5.0,无持续风向 微风
2011/3/12,0,晴,19.0,旋转风 微风
2011/3/12,1,多云,9.0,无持续风向 微风
2011/3/13,0,多云,20.0,旋转风 微风
2011/3/13,1,多云,5.0,西南风 3-4级
2011/3/14,0,阴,10.0,西北风 3-4级
2011/3/14,1,多云,1.0,西北风 3-4级
2011/3/15,0,晴,12.0,旋转风 微风
2011/3/15,1,晴,1.0,无持续风向 微风
2011/3/16,0,晴,15.0,旋转风 微风
2011/3/16,1,晴,3.0,无持续风向 微风
2011/3/17,0,多云,19.0,旋转风 微风
2011/3/17,1,阴,6.0,无持续风向 微风
2011/3/18,0,多云,15.0,旋转风 微风
2011/3/18,1,阴,7.0,无持续风向 微风
2011/3/19,0,小雨,9.0,旋转风 微风
2011/3/19,1,小雨,3.0,无持续风向 微风
2011/3/20,0,小雨,6.0,旋转风 微风
2011/3/20,1,小雨,3.0,无持续风向 微风
2011/3/21,0,阴,7.0,旋转风 微风
2011/3/21,1,阴,1.0,无持续风向 微风
2011/3/22,0,多云,12.0,旋转风 微风
2011/3/22,1,多云,2.0,无持续风向 微风
2011/3/23,0,多云,12.0,旋转风 微风
2011/3/23,1,多云,2.0,无持续风向 微风
2011/3/24,0,多云,11.0,旋转风 微风
2011/3/24,1,多云,3.0,无持续风向 微风
2011/3/25,0,晴,15.0,旋转风 微风
2011/3/25,1,晴,3.0,无持续风向 微风
2011/3/26,0,晴,17.0,旋转风 微风
2011/3/26,1,晴,4.0,旋转风 微风
2011/3/27,0,晴,17.0,旋转风 微风
2011/3/27,1,多云,5.0,无持续风向 微风
2011/3/28,0,晴,19.0,旋转风 微风
2011/3/28,1,晴,7.0,无持续风向 微风
2011/3/29,0,多云,21.0,旋转风 微风
2011/3/29,1,多云,9.0,无持续风向 微风
2011/3/30,0,晴,22.0,旋转风 微风
2011/3/30,1,多云,11.0,无持续风向 微风
2011/3/31,0,多云,22.0,旋转风 微风
2011/3/31,1,阴,12.0,无持续风向 微风
2011/4/1,0,小雨,17.0,无持续风向 ≤3级
2011/4/1,1,小到中雨,7.0,无持续风向 ≤3级
2011/4/2,0,小雨,13.0,无持续风向 ≤3级
2011/4/2,1,多云,4.0,无持续风向 ≤3级
2011/4/3,0,多云,13.0,无持续风向 ≤3级
2011/4/3,1,多云,4.0,无持续风向 ≤3级
2011/4/4,0,阴,13.0,无持续风向 ≤3级
2011/4/4,1,阴,5.0,无持续风向 ≤3级
2011/4/5,0,阵雨,14.0,无持续风向 ≤3级
2011/4/5,1,阵雨,8.0,东北风 3-4级
2011/4/6,0,阴,13.0,无持续风向 ≤3级
2011/4/6,1,阴,8.0,无持续风向 ≤3级
2011/4/7,0,多云,15.0,无持续风向 ≤3级
2011/4/7,1,多云,7.0,无持续风向 ≤3级
2011/4/8,0,多云,19.0,无持续风向 ≤3级
2011/4/8,1,多云,10.0,无持续风向 ≤3级
2011/4/9,0,多云,24.0,无持续风向 ≤3级
2011/4/9,1,晴,10.0,无持续风向 ≤3级
2011/4/10,0,晴,24.0,无持续风向 ≤3级
2011/4/10,1,晴,9.0,无持续风向 ≤3级
2011/4/11,0,多云,20.0,无持续风向 ≤3级
2011/4/11,1,多云,11.0,无持续风向 ≤3级
2011/4/12,0,多云,24.0,无持续风向 ≤3级
2011/4/12,1,晴,12.0,无持续风向 ≤3级
2011/4/13,0,晴,27.0,无持续风向 ≤3级
2011/4/13,1,多云,15.0,无持续风向 ≤3级
2011/4/14,0,多云,28.0,无持续风向 ≤3级
2011/4/14,1,多云,15.0,无持续风向 ≤3级
2011/4/15,0,晴,27.0,无持续风向 ≤3级
2011/4/15,1,多云,17.0,无持续风向 ≤3级
2011/4/16,0,阴,27.0,北风 3-4级
2011/4/16,1,晴,15.0,无持续风向 ≤3级
2011/4/17,0,晴,26.0,无持续风向 ≤3级
2011/4/17,1,晴,15.0,无持续风向 ≤3级
2011/4/18,0,晴,28.0,无持续风向 ≤3级
2011/4/18,1,晴,15.0,无持续风向 ≤3级
2011/4/19,0,多云,28.0,无持续风向 ≤3级
2011/4/19,1,多云,15.0,无持续风向 ≤3级
2011/4/20,0,小雨,22.0,无持续风向 ≤3级
2011/4/20,1,阴,12.0,无持续风向 ≤3级
2011/4/21,0,晴,25.0,无持续风向 ≤3级
2011/4/21,1,晴,12.0,无持续风向 ≤3级
2011/4/22,0,晴,28.0,无持续风向 ≤3级
2011/4/22,1,晴,13.0,北风 3-4级
2011/4/23,0,晴,30.0,无持续风向 ≤3级
2011/4/23,1,晴,14.0,无持续风向 ≤3级
2011/4/24,0,晴,30.0,北风 3-4级
2011/4/24,1,晴,15.0,北风 3-4级
2011/4/25,0,晴,31.0,西北风 3-4级
2011/4/25,1,晴,17.0,西风 3-4级
2011/4/26,0,晴,31.0,西南风 3-4级
2011/4/26,1,多云,18.0,无持续风向 ≤3级
2011/4/27,0,多云,29.0,无持续风向 ≤3级
2011/4/27,1,多云,19.0,无持续风向 ≤3级
2011/4/28,0,多云,32.0,无持续风向 ≤3级
2011/4/28,1,多云,18.0,无持续风向 ≤3级
2011/4/29,0,阴,33.0,无持续风向 ≤3级
2011/4/29,1,多云,15.0,西北风 3-4级
2011/4/30,0,多云,28.0,无持续风向 ≤3级
2011/4/30,1,阴,18.0,无持续风向 ≤3级
2011/5/1,0,阵雨,27.0,无持续风向 ≤3级
2011/5/1,1,小雨,9.0,无持续风向 ≤3级
2011/5/2,0,多云,22.0,无持续风向 ≤3级
2011/5/2,1,晴,10.0,无持续风向 ≤3级
2011/5/3,0,多云,26.0,无持续风向 ≤3级
2011/5/3,1,阴,13.0,无持续风向 ≤3级
2011/5/4,0,晴,29.0,无持续风向 ≤3级
2011/5/4,1,晴,15.0,无持续风向 ≤3级
2011/5/5,0,多云,30.0,无持续风向 ≤3级
2011/5/5,1,多云,18.0,无持续风向 ≤3级
2011/5/6,0,多云,31.0,无持续风向 ≤3级
2011/5/6,1,多云,20.0,东北风 ≤3级
2011/5/7,0,阴,32.0,无持续风向 ≤3级
2011/5/7,1,阴,22.0,无持续风向 ≤3级
2011/5/8,0,雷阵雨,31.0,无持续风向 ≤3级
2011/5/8,1,雷阵雨,15.0,无持续风向 ≤3级
2011/5/9,0,小到中雨,21.0,无持续风向 ≤3级
2011/5/9,1,中雨,13.0,无持续风向 ≤3级
2011/5/10,0,小雨,21.0,无持续风向 ≤3级
2011/5/10,1,多云,11.0,无持续风向 ≤3级
2011/5/11,0,晴,26.0,无持续风向 ≤3级
2011/5/11,1,多云,14.0,无持续风向 ≤3级
2011/5/12,0,晴,25.0,无持续风向 ≤3级
2011/5/12,1,多云,14.0,无持续风向 ≤3级
2011/5/13,0,多云,23.0,无持续风向 ≤3级
2011/5/13,1,阴,13.0,无持续风向 ≤3级
2011/5/14,0,阴,25.0,无持续风向 ≤3级
2011/5/14,1,晴,15.0,无持续风向 ≤3级
2011/5/15,0,晴,29.0,无持续风向 ≤3级
2011/5/15,1,晴,15.0,无持续风向 ≤3级
2011/5/16,0,晴,31.0,无持续风向 ≤3级
2011/5/16,1,晴,19.0,无持续风向 ≤3级
2011/5/17,0,晴,35.0,无持续风向 ≤3级
2011/5/17,1,多云,22.0,无持续风向 ≤3级
2011/5/18,0,多云,36.0,无持续风向 ≤3级
2011/5/18,1,多云,23.0,西北风 3-4级
2011/5/19,0,阴,31.0,无持续风向 ≤3级
2011/5/19,1,阴,21.0,无持续风向 ≤3级
2011/5/20,0,雷阵雨,24.0,无持续风向 ≤3级
2011/5/20,1,中雨,13.0,无持续风向 ≤3级
2011/5/21,0,小到中雨,17.0,无持续风向 ≤3级
2011/5/21,1,小雨,11.0,无持续风向 ≤3级
2011/5/22,0,阴,22.0,无持续风向 ≤3级
2011/5/22,1,多云,11.0,无持续风向 ≤3级
2011/5/23,0,多云,24.0,无持续风向 ≤3级
2011/5/23,1,阴,13.0,无持续风向 ≤3级
2011/5/24,0,小雨,22.0,无持续风向 ≤3级
2011/5/24,1,阴,14.0,无持续风向 ≤3级
2011/5/25,0,多云,27.0,无持续风向 ≤3级
2011/5/25,1,晴,15.0,无持续风向 ≤3级
2011/5/26,0,多云,29.0,无持续风向 ≤3级
2011/5/26,1,多云,17.0,无持续风向 ≤3级
2011/5/27,0,晴,31.0,无持续风向 ≤3级
2011/5/27,1,多云,19.0,无持续风向 ≤3级
2011/5/28,0,阴,31.0,无持续风向 ≤3级
2011/5/28,1,小雨,17.0,无持续风向 ≤3级
2011/5/29,0,小到中雨,25.0,无持续风向 ≤3级
2011/5/29,1,阴,17.0,无持续风向 ≤3级
2011/5/30,0,多云,25.0,无持续风向 ≤3级
2011/5/30,1,多云,17.0,无持续风向 ≤3级
2011/5/31,0,晴,30.0,无持续风向 ≤3级
2011/5/31,1,晴,19.0,无持续风向 ≤3级
2011/6/1,0,晴,32.0,无持续风向 ≤3级
2011/6/1,1,多云,18.0,无持续风向 ≤3级
2011/6/2,0,多云,30.0,无持续风向 ≤3级
2011/6/2,1,多云,19.0,无持续风向 ≤3级
2011/6/3,0,阴,30.0,无持续风向 ≤3级
2011/6/3,1,阴,19.0,无持续风向 ≤3级
2011/6/4,0,多云,29.0,无持续风向 ≤3级
2011/6/4,1,多云,19.0,无持续风向 ≤3级
2011/6/5,0,多云,30.0,无持续风向 ≤3级
2011/6/5,1,阴,20.0,无持续风向 ≤3级
2011/6/6,0,晴,33.0,无持续风向 ≤3级
2011/6/6,1,晴,21.0,无持续风向 ≤3级
2011/6/7,0,晴,37.0,无持续风向 ≤3级
2011/6/7,1,晴,22.0,无持续风向 ≤3级
2011/6/8,0,多云,37.0,无持续风向 ≤3级
2011/6/8,1,阴,24.0,无持续风向 ≤3级
2011/6/9,0,雷阵雨,28.0,无持续风向 ≤3级
2011/6/9,1,阴,18.0,无持续风向 ≤3级
2011/6/10,0,多云,33.0,无持续风向 ≤3级
2011/6/10,1,多云,20.0,无持续风向 ≤3级
2011/6/11,0,多云,35.0,无持续风向 ≤3级
2011/6/11,1,多云,22.0,无持续风向 ≤3级
2011/6/12,0,阴,33.0,无持续风向 ≤3级
2011/6/12,1,多云,22.0,无持续风向 ≤3级
2011/6/13,0,阴,33.0,无持续风向 ≤3级
2011/6/13,1,阴,24.0,无持续风向 ≤3级
2011/6/14,0,阴,34.0,无持续风向 ≤3级
2011/6/14,1,多云,23.0,无持续风向 ≤3级
2011/6/15,0,晴,36.0,无持续风向 ≤3级
2011/6/15,1,多云,24.0,无持续风向 ≤3级
2011/6/16,0,阴,35.0,无持续风向 ≤3级
2011/6/16,1,小雨,20.0,无持续风向 ≤3级
2011/6/17,0,小到中雨,26.0,无持续风向 ≤3级
2011/6/17,1,小到中雨,19.0,无持续风向 ≤3级
2011/6/18,0,多云,31.0,无持续风向 ≤3级
2011/6/18,1,阴,21.0,无持续风向 ≤3级
2011/6/19,0,阴,28.0,无持续风向 ≤3级
2011/6/19,1,阴,24.0,无持续风向 ≤3级
2011/6/20,0,小雨,27.0,无持续风向 ≤3级
2011/6/20,1,小雨,19.0,无持续风向 ≤3级
2011/6/21,0,中雨,24.0,无持续风向 ≤3级
2011/6/21,1,中雨,19.0,无持续风向 ≤3级
2011/6/22,0,小雨,25.0,无持续风向 ≤3级
2011/6/22,1,小雨,20.0,无持续风向 ≤3级
2011/6/23,0,多云,35.0,无持续风向 ≤3级
2011/6/23,1,晴,21.0,无持续风向 ≤3级
2011/6/24,0,晴,36.0,无持续风向 ≤3级
2011/6/24,1,晴,23.0,无持续风向 ≤3级
2011/6/25,0,晴,34.0,无持续风向 ≤3级
2011/6/25,1,多云,21.0,无持续风向 ≤3级
2011/6/26,0,雷阵雨,25.0,无持续风向 ≤3级
2011/6/26,1,小雨,21.0,无持续风向 ≤3级
2011/6/27,0,多云,31.0,无持续风向 ≤3级
2011/6/27,1,晴,20.0,无持续风向 ≤3级
2011/6/28,0,晴,35.0,无持续风向 ≤3级
2011/6/28,1,晴,22.0,无持续风向 ≤3级
2011/6/29,0,多云,35.0,无持续风向 ≤3级
2011/6/29,1,多云,25.0,无持续风向 ≤3级
2011/6/30,0,多云,36.0,无持续风向 ≤3级
2011/6/30,1,多云,27.0,无持续风向 ≤3级
2011/7/1,0,阴,35.0,无持续风向 ≤3级
2011/7/1,1,多云,28.0,无持续风向 ≤3级
2011/7/2,0,雷阵雨,36.0,西风 3-4级
2011/7/2,1,雷阵雨,24.0,西南风 3-4级
2011/7/3,0,小到中雨,29.0,无持续风向 ≤3级
2011/7/3,1,小雨,23.0,无持续风向 ≤3级
2011/7/4,0,小雨,27.0,无持续风向 ≤3级
2011/7/4,1,小雨,22.0,无持续风向 ≤3级
2011/7/5,0,中雨,26.0,无持续风向 ≤3级
2011/7/5,1,大雨,20.0,无持续风向 ≤3级
2011/7/6,0,小到中雨,23.0,无持续风向 ≤3级
2011/7/6,1,小雨,19.0,无持续风向 ≤3级
2011/7/7,0,多云,30.0,无持续风向 ≤3级
2011/7/7,1,晴,20.0,无持续风向 ≤3级
2011/7/8,0,晴,36.0,无持续风向 ≤3级
2011/7/8,1,晴,21.0,无持续风向 ≤3级
2011/7/9,0,多云,35.0,无持续风向 ≤3级
2011/7/9,1,阴,22.0,无持续风向 ≤3级
2011/7/10,0,阴,33.0,无持续风向 ≤3级
2011/7/10,1,阴,23.0,无持续风向 ≤3级
2011/7/11,0,阵雨,29.0,无持续风向 ≤3级
2011/7/11,1,阴,23.0,无持续风向 ≤3级
2011/7/12,0,多云,30.0,无持续风向 ≤3级
2011/7/12,1,多云,24.0,无持续风向 ≤3级
2011/7/13,0,多云,32.0,无持续风向 ≤3级
2011/7/13,1,多云,25.0,无持续风向 ≤3级
2011/7/14,0,多云,36.0,无持续风向 ≤3级
2011/7/14,1,多云,25.0,无持续风向 ≤3级
2011/7/15,0,多云,36.0,无持续风向 ≤3级
2011/7/15,1,晴,24.0,无持续风向 ≤3级
2011/7/16,0,多云,36.0,无持续风向 ≤3级
2011/7/16,1,多云,25.0,无持续风向 ≤3级
2011/7/17,0,雷阵雨,36.0,无持续风向 ≤3级
2011/7/17,1,多云,25.0,无持续风向 ≤3级
2011/7/18,0,多云,35.0,无持续风向 ≤3级
2011/7/18,1,晴,24.0,无持续风向 ≤3级
2011/7/19,0,多云,35.0,无持续风向 ≤3级
2011/7/19,1,多云,25.0,无持续风向 ≤3级
2011/7/20,0,多云,34.0,无持续风向 ≤3级
2011/7/20,1,多云,25.0,无持续风向 ≤3级
2011/7/21,0,小雨,33.0,无持续风向 ≤3级
2011/7/21,1,小到中雨,22.0,无持续风向 ≤3级
2011/7/22,0,小到中雨,29.0,无持续风向 ≤3级
2011/7/22,1,阵雨,22.0,无持续风向 ≤3级
2011/7/23,0,阵雨,29.0,无持续风向 ≤3级
2011/7/23,1,阴,25.0,无持续风向 ≤3级
2011/7/24,0,多云,36.0,无持续风向 ≤3级
2011/7/24,1,多云,27.0,无持续风向 ≤3级
2011/7/25,0,多云,38.0,无持续风向 ≤3级
2011/7/25,1,多云,27.0,无持续风向 ≤3级
2011/7/26,0,多云,36.0,无持续风向 ≤3级
2011/7/26,1,阵雨,26.0,无持续风向 ≤3级
2011/7/27,0,阴,36.0,无持续风向 ≤3级
2011/7/27,1,晴,25.0,无持续风向 ≤3级
2011/7/28,0,多云,35.0,无持续风向 ≤3级
2011/7/28,1,中雨,22.0,西风 3-4级
2011/7/29,0,中雨,29.0,无持续风向 ≤3级
2011/7/29,1,小到中雨,21.0,无持续风向 ≤3级
2011/7/30,0,多云,32.0,无持续风向 ≤3级
2011/7/30,1,多云,22.0,无持续风向 ≤3级
2011/7/31,0,多云,34.0,无持续风向 ≤3级
2011/7/31,1,多云,22.0,无持续风向 ≤3级
2011/8/1,0,小雨,23.0,无持续风向 ≤3级
2011/8/1,1,阴,18.0,无持续风向 ≤3级
2011/8/2,0,阴,28.0,无持续风向 ≤3级
2011/8/2,1,多云,20.0,无持续风向 ≤3级
2011/8/3,0,多云,29.0,无持续风向 ≤3级
2011/8/3,1,阴,21.0,无持续风向 ≤3级
2011/8/4,0,中雨,24.0,无持续风向 ≤3级
2011/8/4,1,中雨,19.0,无持续风向 ≤3级
2011/8/5,0,小到中雨,26.0,无持续风向 ≤3级
2011/8/5,1,阴,19.0,无持续风向 ≤3级
2011/8/6,0,多云,30.0,无持续风向 ≤3级
2011/8/6,1,晴,21.0,无持续风向 ≤3级
2011/8/7,0,晴,33.0,无持续风向 ≤3级
2011/8/7,1,晴,21.0,无持续风向 ≤3级
2011/8/8,0,晴,35.0,无持续风向 ≤3级
2011/8/8,1,晴,24.0,无持续风向 ≤3级
2011/8/9,0,多云,35.0,无持续风向 ≤3级
2011/8/9,1,多云,24.0,无持续风向 ≤3级
2011/8/10,0,多云,34.0,无持续风向 ≤3级
2011/8/10,1,多云,24.0,无持续风向 ≤3级
2011/8/11,0,多云,34.0,无持续风向 ≤3级
2011/8/11,1,多云,24.0,无持续风向 ≤3级
2011/8/12,0,多云,34.0,无持续风向 ≤3级
2011/8/12,1,多云,25.0,无持续风向 ≤3级
2011/8/13,0,多云,34.0,无持续风向 ≤3级
2011/8/13,1,多云,26.0,无持续风向 ≤3级
2011/8/14,0,多云,36.0,无持续风向 ≤3级
2011/8/14,1,多云,27.0,无持续风向 ≤3级
2011/8/15,0,阴,36.0,无持续风向 ≤3级
2011/8/15,1,雷阵雨,27.0,无持续风向 ≤3级
2011/8/16,0,雷阵雨,33.0,无持续风向 ≤3级
2011/8/16,1,阴,23.0,无持续风向 ≤3级
2011/8/17,0,阴,30.0,无持续风向 ≤3级
2011/8/17,1,阴,25.0,无持续风向 ≤3级
2011/8/18,0,小雨,31.0,无持续风向 ≤3级
2011/8/18,1,小雨,24.0,无持续风向 ≤3级
2011/8/19,0,阴,27.0,无持续风向 ≤3级
2011/8/19,1,小雨,19.0,无持续风向 ≤3级
2011/8/20,0,小雨,23.0,无持续风向 ≤3级
2011/8/20,1,中雨,17.0,无持续风向 ≤3级
2011/8/21,0,中雨,21.0,无持续风向 ≤3级
2011/8/21,1,阴,17.0,无持续风向 ≤3级
2011/8/22,0,多云,26.0,无持续风向 ≤3级
2011/8/22,1,阴,18.0,无持续风向 ≤3级
2011/8/23,0,多云,26.0,无持续风向 ≤3级
2011/8/23,1,多云,19.0,无持续风向 ≤3级
2011/8/24,0,多云,29.0,无持续风向 ≤3级
2011/8/24,1,阵雨,21.0,无持续风向 ≤3级
2011/8/25,0,阵雨,28.0,无持续风向 ≤3级
2011/8/25,1,多云,21.0,无持续风向 ≤3级
2011/8/26,0,多云,30.0,无持续风向 ≤3级
2011/8/26,1,多云,20.0,无持续风向 ≤3级
2011/8/27,0,多云,30.0,无持续风向 ≤3级
2011/8/27,1,多云,21.0,无持续风向 ≤3级
2011/8/28,0,多云,30.0,无持续风向 ≤3级
2011/8/28,1,多云,22.0,无持续风向 ≤3级
2011/8/29,0,多云,31.0,无持续风向 ≤3级
2011/8/29,1,晴,22.0,无持续风向 ≤3级
2011/8/30,0,多云,32.0,无持续风向 ≤3级
2011/8/30,1,多云,23.0,无持续风向 ≤3级
2011/8/31,0,多云,32.0,无持续风向 ≤3级
2011/8/31,1,晴,23.0,无持续风向 ≤3级
2011/9/1,0,晴,32.0,无持续风向 ≤3级
2011/9/1,1,多云,23.0,无持续风向 ≤3级
2011/9/2,0,多云,30.0,无持续风向 ≤3级
2011/9/2,1,多云,23.0,无持续风向 ≤3级
2011/9/3,0,阵雨,30.0,无持续风向 ≤3级
2011/9/3,1,阵雨,20.0,无持续风向 ≤3级
2011/9/4,0,小到中雨,26.0,无持续风向 ≤3级
2011/9/4,1,小到中雨,17.0,无持续风向 ≤3级
2011/9/5,0,中雨,21.0,无持续风向 ≤3级
2011/9/5,1,中到大雨,16.0,无持续风向 ≤3级
2011/9/6,0,中到大雨,18.0,无持续风向 ≤3级
2011/9/6,1,中雨,15.0,无持续风向 ≤3级
2011/9/7,0,小雨,20.0,无持续风向 ≤3级
2011/9/7,1,阴,15.0,无持续风向 ≤3级
2011/9/8,0,多云,26.0,无持续风向 ≤3级
2011/9/8,1,阴,17.0,无持续风向 ≤3级
2011/9/9,0,阴,26.0,无持续风向 ≤3级
2011/9/9,1,阴,18.0,无持续风向 ≤3级
2011/9/10,0,小雨,22.0,无持续风向 ≤3级
2011/9/10,1,小到中雨,15.0,无持续风向 ≤3级
2011/9/11,0,中雨,18.0,无持续风向 ≤3级
2011/9/11,1,小雨,16.0,无持续风向 ≤3级
2011/9/12,0,小雨,21.0,无持续风向 ≤3级
2011/9/12,1,小到中雨,16.0,无持续风向 ≤3级
2011/9/13,0,中到大雨,19.0,无持续风向 ≤3级
2011/9/13,1,小雨,17.0,无持续风向 ≤3级
2011/9/14,0,阴,23.0,无持续风向 ≤3级
2011/9/14,1,阴,18.0,无持续风向 ≤3级
2011/9/15,0,阴,24.0,无持续风向 ≤3级
